,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
320,caconda,100,AO,1612048828,97,-13.7333,15.0667,60.37,4.74
321,berea,90,US,1612048828,51,41.3662,-81.8543,30.99,9.22
322,avera,40,US,1612048828,46,33.194,-82.5271,48.2,5.75
323,richards bay,90,US,1612048828,93,46.8361,-95.9123,26.01,6.91
324,majene,100,ID,1612048828,71,-3.5403,118.9707,77.45,6.53
325,fayaoue,22,NC,1612048829,72,-20.65,166.5333,78.96,18.79
326,aksu,0,CN,1612048829,83,41.1231,80.2644,17.33,3.62
327,dwarka,0,IN,1612048829,47,22.2394,68.9678,65.77,11.63
328,taltal,22,CL,1612048665,66,-25.4,-70.4833,69.58,5.3
329,bacolod,78,PH,1612048830,82,10.6667,122.95,75.36,15.48
330,torbay,90,CA,1612048830,93,47.6666,-52.7314,28.99,10.36
331,christchurch,0,NZ,1612048620,63,-43.5333,172.6333,64.99,20.71
332,langsa,53,ID,1612048830,94,4.4683,97.9683,71.35,1.48
333,beringovskiy,100,RU,1612048830,95,63.05,179.3167,8.2,26.42
334,okhotsk,0,RU,1612048659,79,59.3833,143.3,-12.39,17.07
335,kargopol,82,RU,1612048831,97,61.5071,38.9456,13.39,4.5
336,churapcha,100,RU,1612048831,80,62.0025,132.4325,-39.86,2.28
337,bara,0,NG,1612048831,23,10.3744,10.7288,70.97,7.63
338,paamiut,21,GL,1612048831,89,61.994,-49.6678,25.7,14.74
339,chara,100,RU,1612048831,79,56.9064,118.2631,-29.67,1.01
340,cayenne,75,GF,1612048831,89,4.9333,-52.3333,80.6,10.36
341,coos bay,98,US,1612048832,10,43.1665,-124.0015,51.01,1.99
342,bauru,0,BR,1612048832,74,-22.3147,-49.0606,80.6,2.3
343,tazovskiy,100,RU,1612048832,83,67.4667,78.7,-26.09,14.56
344,camacha,20,PT,1612048832,88,33.0833,-16.3333,60.8,4.61
345,bayasong,95,PH,1612048832,82,6.6489,124.8731,74.01,1.21
346,formoso do araguaia,71,BR,1612048833,59,-14.9467,-46.2319,74.77,6.91
347,isla mujeres,100,PH,1612048833,73,15.8939,120.3036,67.48,11.43
348,harper,40,LR,1612048833,87,4.375,-7.7169,78.96,7.74
349,sinnamary,100,GF,1612048833,86,5.3833,-52.95,78.28,14.56
350,cabedelo,20,BR,1612048833,83,-6.9811,-34.8339,78.8,6.91
351,pacific grove,100,US,1612048834,97,38.482,-90.7415,42.01,1.01
352,dalianwan,75,CN,1612048834,87,39.0286,121.695,35.6,11.18
353,talnakh,0,RU,1612048834,70,69.4865,88.3972,-31.13,6.46
354,lasa,90,IT,1612048834,100,46.6166,10.7002,39.99,2.13
355,prince albert,75,CA,1612048835,78,52.9669,-108.3847,6.8,2.3
356,fallon,20,US,1612048835,57,39.4735,-118.7774,44.6,3.98
357,samarai,100,PG,1612048835,74,-10.6167,150.6667,83.66,18.34
358,tura,0,IN,1612048656,49,25.5198,90.2201,49.71,2.75
359,hamilton,90,US,1612048835,51,39.1834,-84.5333,36.0,3.44
360,airai,100,TL,1612048836,100,-8.9266,125.4092,61.66,5.35
361,parnaiba,98,BR,1612048836,84,-2.9047,-41.7767,78.93,10.65
362,narsaq,75,GL,1612048836,30,60.9167,-46.05,39.2,36.82
363,westport,1,US,1612048704,39,41.1415,-73.3579,28.99,4.61
364,tchibanga,93,GA,1612048836,95,-2.85,11.0333,71.58,2.55
365,bredasdorp,6,ZA,1612048837,86,-34.5322,20.0403,66.99,6.35
